text,label
谁会那垃圾桶盛饭吃,1
去乌克兰吧！哪里现在缺人。而且还有机构。比国内好。[看][看][看][看],1
妈妈是个勤劳智慧的女人,0
嫁给富二代了吧！,1
种族很重要，不是歧视种族，可怜之人必有可恨之处[捂脸],1
 的，看着真来气,1
这可不比美人鱼好看？,0
吗的漂亮[赞][赞],1
这么蠢的女人,1
老外见了你也爱不释手[色],1
不嫌埋汰,1
去吧爽,1
如果这个黑人他真的爱这个女的话，应该会选择留在中国。,0
非洲的月亮特别圆[捂脸],1
拉黑你，[呲牙][呲牙],1
嫁到缅北[捂脸],1
活该活该[呲牙][呲牙],1
穷是有原因的,1
你找外国男友我会看不起你,1
最好打死,1
这会你家十代人都 改变不了原本的基因了[一起加油],1
生到这样的女儿，真是虐心。,1
我实在想不通为何越来越大了？,1
不要.打死都不要,1
这就是恬不知耻[赞]表现得零零进制,1
为什么要推给我看呢？这跟我有关系吗？,0
必须搞死不然以后还要报复你,1
不会祝福你的，[泣不成声],1
黑人血统，真是不好改变。,1
为国争光！一黑黑千年,1
抽了两包华子，还是想不太明白,1
[赞]骑马幸福,0
同款短袖，被我穿透了[泪奔],0
我艹，丢国人的脸,1
长沙是个包容的城市！长沙上大分,0
能回非洲婆家就行,1
请好好读读老祖宗留下来的寓言《农夫与蛇》,1
一路走好，下辈子别作了[捂脸],1
人家是真爱,1
鱼小池塘大,1
别上当了非洲人有好几个老婆到时候别后悔了,1
  这是什么垃圾电视剧,1
我有一个疑问，这不比小美人鱼好看[看],0
不这样啊[捂脸],1
见鬼了,1
咸吃萝卜淡操心！,1
是不是心碎了,1
[机智]不要,1
什么意思啊,0
万分之一概率的幸福。这样的家庭环境在非洲算土豪了[捂脸],1
好一个闺蜜[看]完美挡箭牌,1
你要相信，他俩是真爱[看][看],1
没得下家要,1
这[恐惧][恐惧][恐惧][吐][吐][吐],1
就这还好意思要车要房呢，哈哈哈哈哈，你倒贴房车都没有人要吧，哈哈哈哈哈哈哈，笑死我了[笑哭],1
喝,0
真尼玛爽[看],0
还等什么[捂脸]掌声在那里,0
眼睛也不放过吗？[泪奔][泪奔],0
 �不理解,1
[看][暗中观察],0
 嫁到非洲[图片表情],0
   啊救命,1
大家举报这个帐号，好多都是宣传这种串串的。,1
永远不见,1
人有生老三千疾 唯有骨贱不能医,0
烧成骨灰都没事，毕竟自愿的[暗中观察],1
没兴趣,0
水军出动[灵光一闪],0
强烈要求公开这个女人信息，让男同胞避坑,1
 恋爱脑[尬笑][尬笑][尬笑],1
得劲！[捂脸][捂脸][捂脸][捂脸][捂脸],0
你自己的选择哭着也要走下去。[捂脸],1
这个非州家庭还很富裕的，看到以前拍的非州男人娶好几个老婆，都是草屋,1
要不是去过，我都信了你的跪,1
物以类聚，人以群分，别在这里污化了中华民族,1
我没有这也能拍出纪录片？,0
我想看看你妈妈[笑哭],0
黑[看]最爱,0
牙为什么不是黑的[尬笑],1
也特么难受，死个人在家,1
黑宗辱祖，肮脏至极,1
一百万对，出一对,0
电视剧怎么没说非洲一夫多妻制呢？,1
确实是广西的,0
房子的布局看着就很中式,0
这黑姑娘还挺漂亮的,0
这是要三代都洗不白啊[呲牙],1
嫁？谈过都不会接受好吧,1
还不彩礼，倒贴都没有人要,1
这些都是假的，我以前在上海遇到一个女的，跟黑人怀孕了，人家把她带回美国[泣不成声],1
爱他就去他的国家，改成和他一样的国籍，永远别回来了。,1
     [困][困]什么,0
紧张去的 轻松回来的,1
又不见她妈妈呢,0
应该不幸福,1
"虽然受到了毒打
但是获得了爱情
这才是独立女性
我也想踹上一脚",1
无所谓啊喜欢就好[呆无辜][呆无辜][呆无辜],0
他们可能只是“单纯”的  想体验体验,1
别人的感情生活 有些人管的真宽 我不喜欢直接点不感兴趣,0
用脚干活，没意思,0
最好送她去中国非洲,1
一心想死,1
一看就是摆拍。,0
