EPOCHS,BATCH_SIZE,Seed,LR,Precision,Recall,F1-Score,Accuracy
2,32,42,3.00E-05,0.8245,0.824,0.824,0.824
64,32,42,3.00E-05,0.8249,0.823,0.8227,0.823
32,32,2023,3.00E-05,0.825,0.823,0.823,0.823
2,32,2023,3.00E-05,0.823,0.8215,0.8215,0.822
2,32,999,3.00E-05,0.8225,0.822,0.8225,0.822
2,32,42,3.00E-05,0.8215,0.8205,0.8205,0.82
2,32,223,3.00E-05,0.8215,0.8205,0.8205,0.82
2,32,2023,1.00E-04,0.8193,0.8188,0.8187,0.819
16,32,42,3.00E-05,0.8185,0.817,0.817,0.8174
16,32,2023,3.00E-05,0.8185,0.817,0.817,0.8174
2,32,77777,3.00E-05,0.818,0.817,0.817,0.817
8,32,223,3.00E-05,0.818,0.817,0.817,0.817
32,32,42,1.00E-06,0.816,0.816,0.816,0.816
8,8,223,3.00E-05,0.8175,0.817,0.8165,0.816
32,32,42,1.00E-06,0.816,0.816,0.816,0.816
64,32,42,1.00E-06,0.8158,0.8158,0.8157,0.8158
4,32,42,1.00E-04,0.814,0.8137,0.8137,0.814
4,8,223,3.00E-05,0.8155,0.814,0.814,0.814
4,32,42,1.00E-04,0.814,0.8137,0.8137,0.814
2,8,223,3.00E-05,0.813,0.8115,0.8115,0.812
2,64,42,3.00E-05,0.8165,0.8115,0.811,0.812
4,32,223,1.00E-06,0.809,0.8085,0.8085,0.809
8,32,2023,1.00E-04,0.809,0.808,0.808,0.808
16,32,42,1.00E-04,0.807,0.807,0.807,0.807
16,32,42,1.00E-04,0.807,0.807,0.807,0.807
2,8,223,1.00E-06,0.799,0.7985,0.7985,0.799
2,16,42,1.00E-06,0.798,0.7975,0.798,0.798
2,4,42,3.00E-05,0.79925,0.7963,0.79595,0.7964
2,4,223,1.00E-06,0.787,0.7845,0.7845,0.785
2,2,223,3.00E-05,0.556,0.652,0.5855,0.654
2,4,223,5.00E-04,0.2525,0.5,0.3355,0.505
,,,,,,,
